customer_id,customer_name,city,recency_days,frequency,total_amount_spent,r_score,f_score,m_score
159,"Rohan Gupta",Hyderabad,351,3,323637.17,1,3,3
68,"Karan Deshmukh",Delhi,410,3,326465.16,1,3,3
22,"Sneha Nair",Kolkata,45,2,327748.85,4,3,3
9,"Aditya Kumar",Pune,135,4,334150.80,3,4,3
162,"Divya Joshi",Lucknow,62,2,334534.68,3,3,3
36,"Kavya Deshmukh",Surat,160,4,337142.01,3,4,3
3,"Aditya Malhotra",Chennai,250,2,339800.28,2,3,3
85,"Rohan Rao",Mumbai,109,4,343632.30,3,4,3
105,"Kavya Saxena",Bareilly,257,3,344596.01,2,3,3
60,"Varun Joshi",Delhi,545,2,349160.17,1,2,3
88,"Sneha Bhat",Lucknow,407,3,355423.10,1,3,3
54,"Karan Singh",Jaipur,61,5,359671.84,3,5,3
143,"Divya Verma",Pune,21,2,361621.08,4,3,3
41,"Amit Kumar",Chennai,31,4,364702.42,4,5,4
15,"Karan Singh",Bareilly,124,2,366995.34,3,3,4
86,"Aarav Iyer",Bengaluru,175,3,374372.03,2,4,4
155,"Varun Gupta",Hyderabad,198,2,379277.98,2,3,4
16,"Riya Malhotra",Chennai,223,4,387798.10,2,4,4
92,"Amit Mehta",Jaipur,64,3,391230.83,3,4,4
133,"Ananya Mehta",Chandigarh,430,5,391293.41,1,5,4
52,"Sneha Bhat",Chennai,53,3,392435.45,4,4,4
161,"Priya Mehta",Bengaluru,188,2,395707.83,2,3,4
29,"Karan Nair",Pune,57,5,401072.36,4,5,4
45,"Kavya Nair",Hyderabad,169,3,401152.59,2,4,4
87,"Aarav Iyer",Jaipur,15,4,402663.76,4,5,4
49,"Tanvi Chopra",Surat,121,3,403307.24,3,4,4
69,"Pooja Patel",Chennai,128,5,403384.19,3,5,4
115,"Amit Bhat",Hyderabad,108,3,403823.68,3,4,4
82,"Aarav Kulkarni",Mumbai,182,3,404151.02,2,4,4
37,"Rohan Sharma",Ahmedabad,333,2,406107.96,1,2,4
12,"Rahul Singh",Hyderabad,64,3,408084.89,3,4,4
73,"Rohan Bhasin",Chandigarh,114,2,409316.42,3,3,4
117,"Kabir Verma",Ahmedabad,6,3,414615.52,4,4,4
18,"Ananya Chopra",Delhi,32,4,416071.65,4,5,4
47,"Aarav Kumar",Chennai,219,3,416833.01,2,4,4
13,"Divya Singh",Ahmedabad,82,2,420693.42,3,3,4
139,"Divya Sharma",Kolkata,310,3,434080.19,2,3,4
72,"Aditya Sharma",Jaipur,98,3,442225.59,3,4,4
32,"Aarav Iyer",Delhi,389,2,445255.09,1,2,4
160,"Isha Singh",Chennai,57,4,446623.53,4,5,4
67,"Aditya Rao",Chandigarh,123,4,451595.40,3,4,4
119,"Karan Saxena",Mumbai,57,4,453043.39,4,5,4
25,"Divya Nair",Delhi,103,3,455492.02,3,4,4
1,"Sneha Patel",Bengaluru,122,3,467701.60,3,4,4
146,"Vikram Bhat",Delhi,48,3,471760.89,4,4,4
166,"Isha Chopra",Bareilly,496,3,474932.96,1,3,4
50,"Rohan Bhasin",Jaipur,215,4,485383.55,2,4,4
77,"Karan Deshmukh",Hyderabad,360,4,492421.54,1,4,4
100,"Pooja Deshmukh",Bareilly,95,3,500470.02,3,4,4
53,"Rohan Deshmukh",Kolkata,121,4,511285.83,3,4,4
30,"Rohan Mehta",Delhi,51,5,517419.40,4,5,4
76,"Isha Verma",Pune,373,3,523016.58,1,3,4
123,"Kavya Iyer",Jaipur,210,6,529530.79,2,5,4
26,"Divya Joshi",Lucknow,34,5,537381.94,4,5,5
127,"Varun Reddy",Jaipur,17,4,544172.75,4,5,5
81,"Rahul Rao",Bengaluru,401,3,544175.90,1,3,5
74,"Karan Verma",Mumbai,199,5,551794.87,2,5,5
51,"Varun Deshmukh",Kolkata,370,3,555248.00,1,3,5
113,"Kabir Malhotra",Jaipur,163,3,571243.89,3,4,5
102,"Aarav Verma",Jaipur,280,4,572691.34,2,4,5
154,"Priya Kulkarni",Pune,206,4,573944.52,2,4,5
101,"Siddharth Mehta",Ahmedabad,264,4,575925.18,2,4,5
64,"Priya Reddy",Chandigarh,36,4,580574.72,4,5,5
80,"Siddharth Kulkarni",Chennai,490,3,584825.99,1,3,5
165,"Rohan Joshi",Ahmedabad,64,5,603990.13,3,5,5
106,"Rohan Rao",Bareilly,69,5,621685.94,3,5,5
158,"Ananya Singh",Lucknow,348,4,637722.19,1,4,5
131,"Siddharth Kulkarni",Surat,58,5,640706.34,4,5,5
136,"Pooja Deshmukh",Jaipur,33,5,663798.92,4,5,5
124,"Sneha Chopra",Chandigarh,202,4,667286.59,2,4,5
2,"Divya Singh",Chennai,184,6,667480.72,2,5,5
55,"Karan Bhasin",Hyderabad,83,4,669700.91,3,4,5
130,"Ananya Malhotra",Bengaluru,5,4,685445.07,4,5,5
11,"Rohan Patel",Delhi,149,4,708336.59,3,4,5
135,"Ananya Bhat",Bareilly,82,4,730524.43,3,5,5
21,"Kavya Kulkarni",Bareilly,11,8,751900.80,4,5,5
153,"Riya Saxena",Chennai,159,5,761267.34,3,5,5
137,"Pooja Joshi",Lucknow,121,5,766989.68,3,5,5
62,"Siddharth Nair",Bengaluru,118,6,769709.46,3,5,5
84,"Divya Patel",Chandigarh,10,6,775262.84,4,5,5
23,"Neha Patel",Mumbai,97,4,776457.84,3,4,5
144,"Siddharth Patel",Ahmedabad,185,7,782203.30,2,5,5
91,"Vikram Malhotra",Lucknow,189,6,820531.46,2,5,5
108,"Rohan Rao",Mumbai,91,6,821829.12,3,5,5
93,"Isha Mehta",Pune,58,5,822239.09,4,5,5
59,"Kabir Kumar",Jaipur,90,7,830953.66,3,5,5
114,"Neha Reddy",Pune,47,6,835902.68,4,5,5
104,"Amit Gupta",Chandigarh,27,5,849161.51,4,5,5
142,"Kabir Nair",Mumbai,2,5,961236.60,4,5,5
99,"Aarav Sharma",Surat,24,7,975873.30,4,5,5
10,"Kavya Agarwal",Chandigarh,29,6,995912.84,4,5,5
24,"Rohan Verma",Pune,330,8,1001296.03,2,5,5
56,"Kavya Patel",Pune,288,7,1072378.32,2,5,5
